label,mount,move,posid,direction,speed,motor,angle,xpix,ypix,peaks,fwhm
getpic-20230203-171114,0,20230203-171116,4852,cw,cruise,theta,0,1802.7748086618747,861.8294936515832,75251.7160,3.4883
getpic-20230203-171237,0,20230203-171239,4852,cw,cruise,theta,0,1807.137250260325,840.2792772026783,73609.4434,3.4122
getpic-20230203-171558,0,20230203-171600,4852,cw,cruise,theta,0,2135.8066367174097,935.6725386815662,72330.7598,3.2000
getpic-20230203-171705,0,20230203-171707,4852,cw,cruise,theta,0,2022.9749637213492,721.7112463961995,70709.6519,3.2132
getpic-20230203-171749,0,20230203-171751,4852,cw,cruise,theta,0,1861.9064139612328,754.4061455001123,8326.7020,4.9592
getpic-20230203-171823,0,20230203-171826,4852,cw,cruise,theta,0,1808.9544583993697,834.0475890923575,74470.7697,3.3913
getpic-20230203-171905,0,20230203-171908,4852,cw,cruise,theta,0,1801.442234279002,875.2273370689123,74068.0679,3.4335
getpic-20230203-171943,0,20230203-171946,4852,cw,cruise,theta,0,1804.1257271804998,916.988557649836,75554.2640,3.4204
getpic-20230203-172009,0,20230203-172012,4852,cw,cruise,theta,0,1806.685080769798,928.3629757500853,74192.7863,3.4620
getpic-20230203-172111,0,20230203-172113,4852,cw,cruise,theta,0,1806.7752143916448,928.7163480236767,74195.5292,3.4657
getpic-20230203-172204,0,20230203-172206,4852,cw,cruise,theta,0,1806.7032611922598,928.4486484664322,73975.7097,3.4578
getpic-20230203-172256,0,20230203-172258,4852,cw,cruise,theta,0,1847.0234188652353,984.7307037539566,73810.6320,3.3996
getpic-20230203-172443,0,20230203-172446,4852,cw,cruise,theta,0,1918.6756529959312,993.6167304057147,73670.5942,3.3204
getpic-20230203-172535,0,20230203-172537,4852,cw,cruise,theta,0,1972.2226178115886,945.6868496233441,72532.4460,3.2755
getpic-20230203-172555,0,20230203-172558,4852,cw,cruise,theta,0,1972.2200779713776,945.6867846642654,72637.0285,3.2745
getpic-20230203-172723,0,20230203-172725,4852,cw,cruise,theta,0,1974.9699162243278,938.4240925030011,71969.1394,3.2934
getpic-20230203-172821,0,20230203-172824,4852,cw,cruise,theta,0,1979.3480418477266,916.3090717490642,72774.3027,3.2349
getpic-20230203-173103,0,20230203-173105,4852,cw,cruise,theta,0,1977.806155499622,893.7786073190769,75921.4581,3.3759
getpic-20230203-173222,0,20230203-173225,4852,cw,cruise,theta,0,1973.5020211476067,879.2747553581987,74347.6624,3.3601
getpic-20230207-180322,0,20230207-180324,4852,cw,cruise,theta,0,1983.067421237134,880.2690746202414,71337.0281,3.2444
getpic-20230207-180404,0,20230207-180406,4852,cw,cruise,theta,0,1982.9116189158187,880.1200908883832,71060.7313,3.2596
getpic-20230207-180423,0,20230207-180425,4852,cw,cruise,theta,0,1982.8977430726895,880.1313848629942,71295.9835,3.2519
arcth30-20230207-180507,0,20230207-180509,4852,cw,cruise,phi,180,1820.9269106395218,942.5210409191398,71300.5485,3.3868
arcth30-20230207-180507,0,20230207-180519,4852,cw,cruise,theta,30,1816.489786417116,848.5970093557407,72919.9444,3.3383
arcth30-20230207-180507,0,20230207-180527,4852,cw,cruise,theta,30,1866.615776431441,762.6145067877427,71891.6251,3.2395
arcth30-20230207-180507,0,20230207-180535,4852,cw,cruise,theta,30,1956.2225676362827,719.2650612027567,71632.2099,3.1914
arcth30-20230207-180507,0,20230207-180545,4852,cw,cruise,theta,30,2055.057924324204,733.4356715054141,70898.9725,3.1808
arcth30-20230207-180507,0,20230207-180554,4852,cw,cruise,theta,30,2128.952110386501,800.385696900151,70553.5570,3.1789
arcth30-20230207-180507,0,20230207-180603,4852,cw,cruise,theta,30,2152.832374578743,897.1700484863478,71307.1956,3.1927
