label,mount,move,posid,direction,speed,motor,angle,xpix,ypix,peaks,fwhm
arcth30-20230222-131815,0,20230222-132030,4852,ccw,cruise,theta,30,1972.5690078007826,1059.0229867078413,73381.8176,3.3741
arcth30-20230222-131815,0,20230222-132039,4852,ccw,cruise,theta,30,2068.6209194226003,1032.6025219160433,72111.7072,3.2580
arcth30-20230222-131815,0,20230222-132048,4852,ccw,cruise,theta,30,2133.7391527268983,956.5388931920518,74675.2138,3.3946
arcth30-20230222-131815,0,20230222-132057,4852,ccw,cruise,theta,30,2145.0693446213045,857.3744018579235,71424.9890,3.2211
arcth30-20230222-131815,0,20230222-132106,4852,ccw,cruise,theta,30,2099.4537162982747,769.3610122428681,72094.4958,3.1771
arcth30-20230222-131815,0,20230222-132114,4852,ccw,cruise,theta,30,2011.7324055389622,721.3426796148725,72247.3301,3.2250
arcth30-20230222-131815,0,20230222-132123,4852,ccw,cruise,theta,30,1912.4795483799592,730.6362111472057,72981.8026,3.2411
arcth30-20230222-131815,0,20230222-132132,4852,ccw,cruise,theta,30,1835.447763514161,793.7703104286662,71993.6694,3.3551
arcth30-20230222-131815,0,20230222-132141,4852,ccw,cruise,theta,30,1806.7919841179287,888.9658809431112,73228.5920,3.4668
arcth30-20230222-131815,0,20230222-132150,4852,ccw,cruise,theta,30,1815.0611250477407,940.9801923879608,76153.1048,3.4862
arcth30-20230222-131815,0,20230222-132200,4852,ccw,cruise,phi,180,1978.1069671106256,881.1748870167613,72665.4877,3.3147
getpic-20230222-132828,0,20230222-132830,4852,cw,cruise,theta,0,1863.549282245487,761.3207716610978,72155.0542,3.2981
getpic-20230222-132856,0,20230222-132858,4852,cw,cruise,theta,0,1945.8747064231477,908.8062259341992,74041.9788,3.3837
getpic-20230222-132923,0,20230222-132926,4852,cw,cruise,theta,0,1977.7613921364987,892.1863308769479,72295.6208,3.2897
getpic-20230222-132950,0,20230222-132953,4852,cw,cruise,theta,0,1980.8819298646545,889.8358815299089,72429.9731,3.3065
getpic-20230222-133054,0,20230222-133057,4852,cw,cruise,theta,0,1980.964888280832,889.6134335174902,71880.8700,3.3353
getpic-20230222-133118,0,20230222-133120,4852,cw,cruise,theta,0,1980.9686632525104,889.6081730972011,71756.0858,3.3259
getpic-20230222-133146,0,20230222-133149,4852,cw,cruise,theta,0,1977.9433817803902,880.7702276158166,72288.2959,3.3146
arcphi15-20230222-133248,0,20230222-133250,4852,cw,cruise,phi,0,1977.9374575207057,880.7732060873276,72426.4037,3.3122
arcphi15-20230222-133248,0,20230222-133259,4852,cw,cruise,phi,15,1983.968354490964,906.9564762775144,72272.2565,3.3165
arcphi15-20230222-133248,0,20230222-133308,4852,cw,cruise,phi,15,1981.2087921736236,935.3905266571229,72138.2414,3.3115
arcphi15-20230222-133248,0,20230222-133316,4852,cw,cruise,phi,15,1969.3766376078988,961.2597194649778,72917.7188,3.3187
arcphi15-20230222-133248,0,20230222-133325,4852,cw,cruise,phi,15,1949.6555727013795,981.9875432426377,73537.8956,3.3833
arcphi15-20230222-133248,0,20230222-133334,4852,cw,cruise,phi,15,1924.2720604074198,995.1994981009476,72899.5905,3.3483
arcphi15-20230222-133248,0,20230222-133343,4852,cw,cruise,phi,15,1895.7600214411457,999.4226983977113,72676.2793,3.3910
arcphi15-20230222-133248,0,20230222-133352,4852,cw,cruise,phi,15,1867.6442629642977,994.2380311389516,74277.5981,3.4151
